,Unnamed: 0,size,isEmpty,peek_obj_type,calledMethod,size_p,isEmpty_p,peek_obj_type_p,calledMethod_p,diff,testId,instanceId,Matched_LHS,RuleMatched_LHS,Matched,RuleMatched,Violated,RuleViolated
0,1,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","calledMethod == ""push""",x,x,x,x,Yes,1597050830315:d9d7c290-d201-4637-a0ea-df378184cd1c,1597050830315:66f252e1-578a-4ee9-95e0-447339483317,4,"['54', '73', '290', '385']",0,,4,"['54', '73', '290', '385']"
1,2,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","calledMethod == ""pop""","size_p == ""2""","isEmpty_p == ""True""","peek_obj_type_p == ""class java.lang.String""","calledMethod_p == ""push""",Yes,1597050830315:d9d7c290-d201-4637-a0ea-df378184cd1c,1597050830315:66f252e1-578a-4ee9-95e0-447339483317,15,"['20', '26', '54', '62', '73', '79', '92', '154', '183', '195', '212', '266', '372', '385', '414']",0,,15,"['20', '26', '54', '62', '73', '79', '92', '154', '183', '195', '212', '266', '372', '385', '414']"
2,8,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""","calledMethod == ""push""","size_p == ""2""","isEmpty_p == ""True""","peek_obj_type_p == ""class java.lang.String""","calledMethod_p == ""push""",Yes,1597050830315:a7ec5d7b-ffd8-4acb-a8ad-a6e0dac16ffa,1597050830315:ec49afab-ebbb-4b1a-b982-5b53c5a56259,40,"['18', '20', '22', '34', '44', '60', '83', '106', '115', '147', '149', '150', '173', '183', '184', '187', '239', '241', '249', '253', '258', '266', '272', '274', '276', '281', '287', '292', '299', '308', '319', '321', '323', '366', '372', '394', '419', '426', '429', '431']",5,"['0', '1', '129', '267', '290']",40,"['18', '20', '22', '34', '44', '60', '83', '106', '115', '147', '149', '150', '173', '183', '184', '187', '239', '241', '249', '253', '258', '266', '272', '274', '276', '281', '287', '292', '299', '308', '319', '321', '323', '366', '372', '394', '419', '426', '429', '431']"
3,19,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","calledMethod == ""clear""",x,x,x,x,No,1597050830315:30a25f51-6805-4527-80ac-b852a4a5a4f3,1597050830315:88191795-78d0-4fee-816d-6b3c92a43926,0,,31,"['2', '3', '4', '54', '55', '65', '66', '67', '68', '69', '70', '71', '72', '73', '113', '114', '128', '213', '214', '215', '291', '334', '349', '350', '351', '352', '353', '354', '355', '385', '432']",0,
4,20,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","calledMethod == ""push""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","calledMethod_p == ""clear""",Yes,1597050830315:30a25f51-6805-4527-80ac-b852a4a5a4f3,1597050830315:88191795-78d0-4fee-816d-6b3c92a43926,61,"['1', '24', '32', '37', '41', '42', '54', '60', '73', '82', '83', '86', '97', '111', '112', '115', '118', '119', '120', '127', '150', '155', '185', '186', '187', '217', '222', '223', '231', '242', '249', '250', '264', '270', '275', '276', '280', '281', '290', '293', '298', '299', '302', '317', '322', '323', '333', '341', '342', '348', '363', '385', '400', '402', '406', '408', '410', '416', '422', '430', '431']",43,"['19', '20', '33', '34', '93', '107', '108', '109', '122', '123', '124', '172', '188', '189', '190', '191', '192', '240', '241', '256', '265', '266', '277', '278', '279', '304', '305', '306', '307', '360', '361', '372', '373', '384', '386', '387', '388', '389', '390', '391', '392', '428', '429']",61,"['1', '24', '32', '37', '41', '42', '54', '60', '73', '82', '83', '86', '97', '111', '112', '115', '118', '119', '120', '127', '150', '155', '185', '186', '187', '217', '222', '223', '231', '242', '249', '250', '264', '270', '275', '276', '280', '281', '290', '293', '298', '299', '302', '317', '322', '323', '333', '341', '342', '348', '363', '385', '400', '402', '406', '408', '410', '416', '422', '430', '431']"
5,21,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","calledMethod == ""clear""","size_p == ""2""","isEmpty_p == ""True""","peek_obj_type_p == ""class java.lang.String""","calledMethod_p == ""push""",No,1597050830315:30a25f51-6805-4527-80ac-b852a4a5a4f3,1597050830315:88191795-78d0-4fee-816d-6b3c92a43926,23,"['20', '75', '78', '79', '89', '91', '92', '121', '163', '166', '169', '170', '183', '193', '194', '195', '266', '268', '312', '315', '316', '372', '414']",43,"['2', '3', '4', '54', '55', '61', '62', '65', '66', '67', '68', '69', '70', '71', '72', '73', '113', '114', '128', '142', '143', '144', '152', '153', '154', '211', '212', '213', '214', '215', '291', '334', '338', '339', '349', '350', '351', '352', '353', '354', '355', '385', '432']",23,"['20', '75', '78', '79', '89', '91', '92', '121', '163', '166', '169', '170', '183', '193', '194', '195', '266', '268', '312', '315', '316', '372', '414']"
6,22,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","calledMethod == ""clear""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","calledMethod_p == ""clear""",No,1597050830315:30a25f51-6805-4527-80ac-b852a4a5a4f3,1597050830315:88191795-78d0-4fee-816d-6b3c92a43926,0,,62,"['2', '3', '4', '19', '20', '54', '55', '65', '66', '67', '68', '69', '70', '71', '72', '73', '93', '109', '113', '114', '122', '123', '124', '128', '172', '188', '189', '190', '191', '192', '213', '214', '215', '256', '265', '266', '277', '278', '279', '291', '334', '349', '350', '351', '352', '353', '354', '355', '360', '361', '372', '373', '384', '385', '386', '387', '388', '389', '390', '391', '392', '432']",0,
7,30,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""","calledMethod == ""push""","size_p == ""3""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Float""","calledMethod_p == ""push""",Yes,1597050830314:f1612ca6-7fa4-4ad7-950f-4c7dddc7484f,1597050830314:ef2d32af-432a-4096-ab74-1fff11aaffbc,0,,5,"['129', '183', '184', '267', '290']",0,
8,284,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""","calledMethod == ""pop""","size_p == ""4""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Float""","calledMethod_p == ""push""",Yes,1597050830307:18ec4504-96a4-46bf-b713-dc92279c7651,1597050830307:facb19e9-ca66-46b2-bb35-23e9b0f11fdc,0,,4,"['26', '183', '184', '267']",0,
9,285,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","calledMethod == ""clear""","size_p == ""3""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Float""","calledMethod_p == ""pop""",No,1597050830307:18ec4504-96a4-46bf-b713-dc92279c7651,1597050830307:facb19e9-ca66-46b2-bb35-23e9b0f11fdc,0,,43,"['2', '3', '4', '5', '6', '54', '55', '63', '64', '65', '66', '67', '68', '69', '70', '71', '72', '73', '113', '114', '128', '130', '131', '132', '133', '134', '135', '209', '210', '213', '214', '215', '291', '334', '349', '350', '351', '352', '353', '354', '355', '385', '432']",0,
